Taxa (replacement patterns)	Labels (search patterns)
type/sequence/tuple/literal/empty	empty_literal:Tuple
var/assignment	assignment\b.*
var/assignment/augmented/\1	augmented_assignment:(.+)
var/assignment/augmented/subscript/\1	subscript_augmented_assignment:(.+)
var/assignment/chained	chained_assignment
var/assignment/conditional/compact	compact_conditional_assignment
var/assignment/conditional/corrective	corrective_conditional_assignment
var/assignment/conditional/verbose	verbose_conditional_assignment
var/assignment/constant	assignment_lhs_identifier:[[:upper:]0-9_]+
var/assignment/index	subscript_assignment:Index
var/assignment/negate	negate
var/assignment/parallel	parallel_assignment:2
var/assignment/parallel/more_than_two	parallel_assignment:(?!2$)\d+
var/assignment/parallel/slide	slide
var/assignment/parallel/swap	swap
var/assignment/sequence/swap	swap_unpythonic
var/assignment/single	single_assignment:.+
var/assignment/slice	subscript_assignment:Slice
var/assignment/throwaway	assignment_lhs_identifier:_
var/deletion	node:Delete
var/deletion/attribute	attribute_deletion:.+
var/deletion/index	subscript_deletion:Index
var/deletion/slice	subscript_deletion:Slice
var/deletion/unbinding	unbinding:.+
-- EOF	EOF
pattern/states/accumulate	TODO
pattern/states/accumulate/find_best	TODO
style/test_driven	TODO
type/string/newline	TODO
var/assignment/argument	TODO
var/assignment/iteration_variable	TODO
var/assignment/iteration_variable/tuple	TODO
var/scope/global	TODO
var/scope/local	TODO
var/scope/local/argument	TODO
var/scope/outer	TODO
var/scope/shadowing	TODO
